CASEID,YEAR,ID,AGE,SEX,RACECEN1,HISPANIC,EDUC,MARHOMO
59873,2016,274,37,1,1,1,16,0
59874,2016,275,69,2,1,1,13,4
59875,2016,276,48,1,1,1,15,2
59876,2016,277,44,2,1,1,20,0
59877,2016,278,59,1,1,1,16,5
59878,2016,279,61,2,1,1,14,0
59879,2016,280,31,1,1,2,10,0
59880,2016,281,54,2,1,2,9,2
59881,2016,282,49,2,1,1,14,2
59882,2016,283,47,2,1,2,12,2
59883,2016,284,99,2,1,2,13,1
59884,2016,285,83,2,1,1,12,3
59885,2016,286,38,1,2,1,14,2
59886,2016,287,47,1,2,1,14,0
59887,2016,288,28,1,1,1,14,1
59888,2016,289,73,2,1,1,12,1
59889,2016,290,31,2,1,1,17,1
59890,2016,291,55,1,1,1,19,0
59891,2016,292,61,1,1,1,16,0
59892,2016,293,50,1,1,1,19,1
59893,2016,294,67,2,1,1,11,1
59894,2016,295,41,1,1,2,12,3
59895,2016,296,22,2,16,6,12,0
59896,2016,297,60,2,1,1,19,1
59897,2016,298,36,2,99,3,16,1
59898,2016,299,39,2,6,1,16,1
59899,2016,300,40,1,2,1,17,0
59900,2016,301,23,2,2,1,13,1
59901,2016,302,63,2,2,1,9,2
59902,2016,303,60,1,2,1,13,0
59903,2016,304,40,1,2,1,13,2
59904,2016,305,40,1,2,1,14,2
59905,2016,306,30,2,1,2,19,1
59906,2016,307,43,2,16,3,12,0
59907,2016,308,52,2,16,3,10,0
59908,2016,309,99,1,1,1,16,2
59909,2016,310,25,2,16,2,13,0
59910,2016,311,99,1,1,1,20,0
59911,2016,312,58,1,1,1,16,0
59912,2016,313,60,1,1,1,12,1
59913,2016,314,44,1,1,1,16,0
59914,2016,315,69,1,1,1,16,2
59915,2016,316,66,1,1,1,15,0
59916,2016,317,43,1,2,1,12,1
59917,2016,318,37,1,1,1,12,0
59918,2016,319,28,1,16,6,12,3
59919,2016,320,69,2,1,1,16,1
59920,2016,321,27,2,16,2,8,2
59921,2016,322,60,2,1,1,18,0
59922,2016,323,62,2,2,1,14,2
59923,2016,324,74,1,2,1,14,3
59924,2016,325,32,2,1,2,12,3
59925,2016,326,68,2,1,1,12,2
59926,2016,327,39,1,1,2,12,3
59927,2016,328,21,2,3,2,12,1
59928,2016,329,52,2,1,1,16,1
59929,2016,330,46,1,1,1,16,1
59930,2016,331,56,1,1,1,12,2
59931,2016,332,60,1,1,1,16,0
59932,2016,333,22,1,1,1,15,0
59933,2016,334,42,1,99,1,13,3
59934,2016,335,35,1,4,2,9,3
59935,2016,336,42,2,16,3,16,0
59936,2016,337,58,1,1,1,17,4
59937,2016,338,32,2,1,1,18,0
59938,2016,339,59,2,1,1,16,2
59939,2016,340,20,1,1,1,14,0
59940,2016,341,44,1,1,1,18,1
59941,2016,342,34,2,1,1,12,0
59942,2016,343,62,2,1,1,18,4
59943,2016,344,59,1,1,1,16,0
59944,2016,345,51,2,1,1,16,1
59945,2016,346,37,1,1,1,19,0
59946,2016,347,50,1,1,1,20,0
59947,2016,348,40,2,1,1,15,1
59948,2016,349,53,1,1,1,12,0
59949,2016,350,52,1,1,1,12,5
59950,2016,351,52,2,1,1,14,4
59951,2016,352,36,2,1,1,18,1
59952,2016,353,46,2,1,1,12,0
59953,2016,354,56,1,1,1,12,5
59954,2016,355,64,2,1,1,13,2
59955,2016,356,62,2,2,1,19,4
59956,2016,357,35,2,16,5,16,2
59957,2016,358,60,1,1,1,16,0
59958,2016,359,36,2,2,1,14,5
59959,2016,360,62,2,1,1,13,1
59960,2016,361,30,1,1,1,16,1
59961,2016,362,27,1,1,1,12,0
59962,2016,363,79,1,1,1,16,1
59963,2016,364,60,2,1,1,12,2
59964,2016,365,51,1,1,1,18,2
59965,2016,366,42,2,1,1,12,0
59966,2016,367,59,1,1,1,9,5
59967,2016,368,49,1,1,1,15,0
59968,2016,369,53,2,1,1,13,1
59969,2016,370,47,1,1,1,13,1
59970,2016,371,41,2,10,1,20,3
59971,2016,372,47,2,1,1,18,0
59972,2016,373,64,1,1,1,12,5
59973,2016,374,80,2,4,1,18,1
59974,2016,375,61,2,1,1,14,0
59975,2016,376,34,2,1,1,16,0
59976,2016,377,31,1,2,1,12,0
59977,2016,378,29,2,1,1,16,1
59978,2016,379,99,1,1,1,13,4
59979,2016,380,68,2,2,1,18,0
59980,2016,381,89,1,1,1,20,0
59981,2016,382,76,2,1,1,16,0
59982,2016,383,64,1,1,1,12,4
59983,2016,384,40,2,2,1,13,2
59984,2016,385,27,2,2,1,18,0
